accuracy,loss,val_accuracy,val_loss,learning_rate
0.8202614188194275,0.46185052394866943,0.27272728085517883,8.307408332824707,0.0010000000474974513
0.9869281053543091,0.06050364300608635,0.560606062412262,2.947016477584839,0.0010000000474974513
0.9934640526771545,0.025033945217728615,0.7878788113594055,1.0742639303207397,0.0010000000474974513
0.9967319965362549,0.013085823506116867,0.8787878751754761,0.5652047395706177,0.0010000000474974513
1.0,0.007029830012470484,0.8939393758773804,0.5060474872589111,0.0010000000474974513
1.0,0.007597009185701609,0.9090909361839294,0.3170977532863617,0.0010000000474974513
1.0,0.006193166598677635,0.9696969985961914,0.12672948837280273,0.0010000000474974513
1.0,0.005489335861057043,0.9545454382896423,0.10412371903657913,0.0010000000474974513
0.9967319965362549,0.007509385701268911,0.9545454382896423,0.10109394043684006,0.0010000000474974513
0.9967319965362549,0.006056865211576223,0.9545454382896423,0.11778360605239868,0.0010000000474974513
0.9967319965362549,0.009516742080450058,0.9545454382896423,0.13853859901428223,0.0010000000474974513
1.0,0.008832070976495743,0.9545454382896423,0.175678089261055,0.0010000000474974513
1.0,0.0021427529864013195,0.9696969985961914,0.1783774197101593,0.0010000000474974513
0.9967319965362549,0.021867290139198303,0.9696969985961914,0.11369951069355011,0.0010000000474974513
0.9738562107086182,0.07426945120096207,0.9848484992980957,0.07358197867870331,9.999999747378752e-06
0.9803921580314636,0.07731291651725769,0.9848484992980957,0.0478827990591526,9.999999747378752e-06
0.9901960492134094,0.05422987416386604,0.9848484992980957,0.02673998475074768,9.999999747378752e-06
0.9803921580314636,0.07970880717039108,1.0,0.012985765002667904,9.999999747378752e-06
0.9869281053543091,0.06191646307706833,1.0,0.008189324289560318,9.999999747378752e-06
0.9869281053543091,0.06595660001039505,1.0,0.00567658431828022,9.999999747378752e-06
0.9934640526771545,0.05688738450407982,1.0,0.004325535148382187,9.999999747378752e-06
0.9869281053543091,0.0658784881234169,1.0,0.0036770578008145094,9.999999747378752e-06
0.9803921580314636,0.08362104743719101,1.0,0.002956876764073968,9.999999747378752e-06
0.9967319965362549,0.05760478228330612,1.0,0.0025278290268033743,9.999999747378752e-06
0.9934640526771545,0.068057119846344,1.0,0.0023133757058531046,9.999999747378752e-06
